# rho theta Phi
1.091787525116494493e+02 1.470783553884024986e-01 2.942898273468017578e+00
1.111575458527220235e+02 1.444415783746439697e-01 2.932525157928466797e+00
1.131370849898476081e+02 1.418970546041639358e-01 2.922260522842407227e+00
1.151173314492652793e+02 1.394400570913377213e-01 2.912102699279785156e+00
1.170982493464355798e+02 1.370661743101876384e-01 2.902049303054809570e+00
1.190798051728335736e+02 1.347712844777310959e-01 2.892098903656005859e+00
1.210619676033724517e+02 1.325515322966740184e-01 2.882249593734741211e+00
1.230447073221761940e+02 1.304033078891334019e-01 2.872499465942382812e+00
1.250279968647022741e+02 1.283232276857947940e-01 2.862847089767456055e+00
1.270118104744594234e+02 1.263081170632402439e-01 2.853290319442749023e+00
1.289961239727767861e+02 1.243549945467614382e-01 2.843827962875366211e+00
1.309809146402635349e+02 1.224610574173414235e-01 2.834458351135253906e+00
1.329661611087572908e+02 1.206236685801027192e-01 2.825179815292358398e+00
1.349518432626987021e+02 1.188403445677651965e-01 2.815990447998046875e+00
1.369379421489895208e+02 1.171087445668642785e-01 2.806889295578002930e+00
1.389244398944980503e+02 1.154266603669247132e-01 2.797874450683593750e+00
1.409113196304682845e+02 1.137920071437080599e-01 2.788944721221923828e+00
1.428985654231699982e+02 1.122028149972544020e-01 2.780098676681518555e+00
1.448861622101986768e+02 1.106572211738956479e-01 2.771334648132324219e+00
1.468740957418972641e+02 1.091534629088777297e-01 2.762651443481445312e+00
1.488623525274271628e+02 1.076898708328206805e-01 2.754047870635986328e+00
1.508509197850646046e+02 1.062648628910788096e-01 2.745522260665893555e+00
1.528397853963423927e+02 1.048769387302338901e-01 2.737073659896850586e+00
1.548289378636952449e+02 1.035246745105443539e-01 2.728700637817382812e+00
1.568183662713012723e+02 1.022067181072535413e-01 2.720402002334594727e+00
1.588080602488425370e+02 1.009217846672938457e-01 2.712176561355590820e+00
1.607980099379342391e+02 9.966865249116202419e-02 2.704023361206054688e+00
1.627882059609970611e+02 9.844615921263308311e-02 2.695940732955932617e+00
1.647786393923678361e+02 9.725319825156576725e-02 2.687927961349487305e+00
1.667693017314637416e+02 9.608871551736690442e-02 2.679983854293823242e+00
1.687601848778319038e+02 9.495170634275632016e-02 2.672107458114624023e+00
1.707512811079319590e+02 9.384121262933650676e-02 2.664297342300415039e+00
1.727425830535134708e+02 9.275632018814373991e-02 2.656552791595458984e+00
1.747340836814615272e+02 9.169615625986302088e-02 2.648872613906860352e+00
1.767257762749961785e+02 9.065988720074510954e-02 2.641255855560302734e+00
1.787176544161208369e+02 8.964671632148651925e-02 2.633701801300048828e+00
1.807097119692242870e+02 8.865588186743746102e-02 2.626209259033203125e+00
1.827019430657484804e+02 8.768665512950046814e-02 2.618777275085449219e+00
1.846943420898431327e+02 8.673833867598511327e-02 2.611404895782470703e+00
1.866869036649330553e+02 8.581026469650215871e-02 2.604091405868530273e+00
1.886796226411320845e+02 8.490179344972195730e-02 2.596835851669311523e+00
1.906724940834414213e+02 8.401231180749457739e-02 2.589637279510498047e+00
1.926655132606767324e+02 8.314123188844123324e-02 2.582494974136352539e+00
1.946586756350715461e+02 8.228798977468188003e-02 2.575407981872558594e+00
1.966519768525096765e+02 8.145204430587098254e-02 2.568375825881958008e+00
1.986454127333425106e+02 8.063287594517382084e-02 2.561397314071655273e+00
2.006389792637512528e+02 7.982998571223731687e-02 2.554471969604492188e+00
1.843908891458577415e+01 1.789465272668838480e+00 5.720070838928222656e+00
1.811077027627483460e+01 1.681453547968792206e+00 5.749175071716308594e+00
1.800000000000000000e+01 1.570796326794896558e+00 5.758893013000488281e+00
1.811077027627483460e+01 1.460139105621000910e+00 5.748886585235595703e+00
1.843908891458577415e+01 1.352127380920954636e+00 5.719453334808349609e+00
1.897366596101027625e+01 1.249045772398254428e+00 5.671508312225341797e+00
1.969771560359220786e+01 1.152571997215667610e+00 5.606413841247558594e+00
2.059126028197400160e+01 1.063697822402559723e+00 5.525843620300292969e+00
2.163330765278393741e+01 9.827937232473290541e-01 5.431610584259033203e+00
2.280350850198275836e+01 9.097531579442097449e-01 5.325537204742431641e+00
2.408318915758459156e+01 8.441539861131710509e-01 5.209372043609619141e+00
2.545584412271571040e+01 7.853981633974482790e-01 5.084747791290283203e+00
2.690724809414741969e+01 7.328151017865065509e-01 4.953197479248046875e+00
2.842534080710379030e+01 6.857295109062863103e-01 4.816178321838378906e+00
3.000000000000000000e+01 6.435011087932843710e-01 4.675148010253906250e+00
3.162277660168379256e+01 6.055446636049700571e-01 4.531678676605224609e+00
3.328663395418647752e+01 5.713374798336268157e-01 4.387555599212646484e+00
3.498571136907180090e+01 5.404195002705841633e-01 4.244881629943847656e+00
3.671511950137163893e+01 5.123894603107377321e-01 4.106121540069580078e+00
3.847076812334268681e+01 4.868992318112690398e-01 3.973987817764282227e+00
4.024922359499621649e+01 4.636476090008060935e-01 3.851239204406738281e+00
4.204759208325727826e+01 4.423742229767448908e-01 3.740322589874267578e+00
4.386342439892261780e+01 4.228539261329407051e-01 3.642955780029296875e+00
4.569463863518345192e+01 4.048917862850834326e-01 3.559827804565429688e+00
4.753945729601885262e+01 3.883187181724659931e-01 3.490514039993286133e+00
4.939635614091387339e+01 3.729877218000610117e-01 3.433677196502685547e+00
5.126402247190518580e+01 3.587706702705722450e-01 3.387429714202880859e+00
5.314132102234569288e+01 3.455555805817121517e-01 3.349725008010864258e+00
5.502726596879041665e+01 3.332443011116726916e-01 3.318644046783447266e+00
5.692099788303082875e+01 3.217505543966421855e-01 3.292552232742309570e+00
5.882176467941096831e+01 3.109982806055409665e-01 3.270145177841186523e+00
6.072890580275590366e+01 3.009202343604250873e-01 3.250427007675170898e+00
6.264183905346330050e+01 2.914567944778670983e-01 3.232661724090576172e+00
6.456004956627589308e+01 2.825549524695875059e-01 3.216316223144531250e+00
6.648308055437864539e+01 2.741674511196587893e-01 3.201010465621948242e+00
6.841052550594828574e+01 2.662520491509253739e-01 3.186474800109863281e+00
7.034202158027589746e+01 2.587708919636976246e-01 3.172520399093627930e+00
7.227724399837060787e+01 2.516899717581867479e-01 3.159014225006103516e+00
7.421590126111789232e+01 2.449786631268641435e-01 3.145863056182861328e+00
7.615773105863908654e+01 2.386093225082009661e-01 3.133001327514648438e+00
7.810249675906653977e+01 2.325569418049090453e-01 3.120383024215698242e+00
8.004998438475800526e+01 2.267988480538858653e-01 3.107975006103515625e+00
8.200000000000000000e+01 2.213144423477912959e-01 3.095753908157348633e+00
8.395236744726142319e+01 2.160849722967864150e-01 3.083702802658081055e+00
8.590692637965811684e+01 2.110933332227465375e-01 3.071809291839599609e+00
8.786353054595518586e+01 2.063238940297174862e-01 3.060063838958740234e+00
8.982204629154247755e+01 2.017623443202870848e-01 3.048459291458129883e+00
9.178235124467012440e+01 1.973955598498807473e-01 3.036990165710449219e+00
9.374433316206372524e+01 1.932114838478060370e-01 3.025651931762695312e+00
9.570788891204318816e+01 1.891990220999681671e-01 3.014440774917602539e+00
9.767292357659823665e+01 1.853479499956947607e-01 3.003353357315063477e+00
9.963934965664920185e+01 1.816488300000119460e-01 2.992387056350708008e+00
1.016070863670443032e+02 1.780929382311975395e-01 2.981539011001586914e+00
1.035760590097924165e+02 1.746721990082396869e-01 2.970807075500488281e+00
1.055461984156700908e+02 1.713791263895076411e-01 2.960188865661621094e+00
1.075174404457249011e+02 1.682067718570861015e-01 2.949682235717773438e+00
1.094897255453679605e+02 1.651486774146268266e-01 2.939285516738891602e+00
1.114629983447421893e+02 1.621988334633823747e-01 2.928996324539184570e+00
1.134372072998978638e+02 1.593516409039168746e-01 2.918812990188598633e+00
1.154123043700280675e+02 1.566018769820153589e-01 2.908733606338500977e+00
1.173882447266335163e+02 1.539446644583499224e-01 2.898756504058837891e+00
1.193649864910141929e+02 1.513754437340262271e-01 2.888880014419555664e+00
1.213424904969401013e+02 1.488899476094972529e-01 2.879101991653442383e+00
1.233207200757439637e+02 1.464841783935612041e-01 2.869421243667602539e+00
1.252996408614166768e+02 1.441543871131543142e-01 2.859835863113403320e+00
1.272792206135785591e+02 1.418970546041639358e-01 2.850344181060791016e+00
1.292594290564522055e+02 1.397088742891636481e-01 2.840944766998291016e+00
1.312402377321833455e+02 1.375867364703498852e-01 2.831636190414428711e+00
1.332216198670471101e+02 1.355277139855007307e-01 2.822416782379150391e+00
1.352035502492445573e+02 1.335290490918714379e-01 2.813284873962402344e+00
1.371860051171401267e+02 1.315881414579206377e-01 2.804239511489868164e+00
1.391689620569184171e+02 1.297025371559120954e-01 2.795278787612915039e+00
1.411523999087511072e+02 1.278699185599998789e-01 2.786401510238647461e+00
1.431362986806631170e+02 1.260880950645904275e-01 2.777606248855590820e+00
1.451206394693738844e+02 1.243549945467614382e-01 2.768891811370849609e+00
1.471054043874663364e+02 1.226686555044567140e-01 2.760256528854370117e+00
1.490905764963030720e+02 1.210272198092050000e-01 2.751699686050415039e+00
1.510761397441700638e+02 1.194289260183384466e-01 2.743219614028930664e+00
1.530620789091798599e+02 1.178721031972163324e-01 2.734815120697021484e+00
1.550483795465144397e+02 1.163551652068748055e-01 2.726485013961791992e+00
1.570350279396288045e+02 1.148766054168991330e-01 2.718228101730346680e+00
1.590220110550737616e+02 1.134349918072163343e-01 2.710043191909790039e+00
1.610093165006298648e+02 1.120289624259878797e-01 2.701929330825805664e+00
1.629969324864734972e+02 1.106572211738956479e-01 2.693885326385498047e+00
1.649848477891227390e+02 1.093185338879000545e-01 2.685909986495971680e+00
1.669730517179344247e+02 1.080117247000463160e-01 2.678002119064331055e+00
1.689615340839446844e+02 1.067356726491356517e-01 2.670161008834838867e+00
1.709502851708648166e+02 1.054893085250906415e-01 2.662385702133178711e+00
1.729392957080605129e+02 1.042716119276553138e-01 2.654674768447875977e+00
1.749285568453590258e+02 1.030816085227002354e-01 2.647027254104614258e+00
1.769180601295413169e+02 1.019183674808738782e-01 2.639442682266235352e+00
1.789077974823903503e+02 1.007809990846677550e-01 2.631919622421264648e+00
1.808977611801760190e+02 9.966865249116202419e-02 2.624457359313964844e+00
1.828879438344692971e+02 9.858051363880303286e-02 2.617054939270019531e+00
1.848783383741859438e+02 9.751580328754604066e-02 2.609711408615112305e+00
1.868689380287692359e+02 9.647377518258690166e-02 2.602426052093505859e+00
1.888597363124284243e+02 9.545371433271414296e-02 2.595198154449462891e+00
1.908507270093567172e+02 9.445493539504666580e-02 2.588026523590087891e+00
1.928419041598583590e+02 9.347678115858946979e-02 2.580910444259643555e+00
1.948332620473208578e+02 9.251862111964685720e-02 2.573848962783813477e+00
1.968247951859724481e+02 9.157985014268565926e-02 2.566841602325439453e+00
1.988164983093707008e+02 9.065988720074510954e-02 2.559887647628784180e+00
2.008083663595717780e+02 8.975817418995052366e-02 2.552986145019531250e+00
2.039607805437113797e+01 1.768191886644777444e+00 5.658447265625000000e+00
2.009975124224177989e+01 1.670464979286058638e+00 5.683268547058105469e+00
2.000000000000000000e+01 1.570796326794896558e+00 5.691515922546386719e+00
2.009975124224177989e+01 1.471127674303734700e+00 5.682961940765380859e+00
2.039607805437113797e+01 1.373400766945015894e+00 5.657798767089843750e+00
2.088061301782110135e+01 1.279339532317029571e+00 5.616678237915039062e+00
2.154065922853801496e+01 1.190289949682531656e+00 5.560592651367187500e+00
2.236067977499789805e+01 1.107148717794090409e+00 5.490795135498046875e+00
2.332380757938120297e+01 1.030376826524312506e+00 5.408668518066406250e+00
2.441311123146740414e+01 9.600703624056879937e-01 5.315649509429931641e+00
2.561249694973139412e+01 8.960553845713439269e-01 5.213170528411865234e+00
2.690724809414741969e+01 8.379812250083900071e-01 5.102601528167724609e+00
2.828427124746190202e+01 7.853981633974482790e-01 4.985239505767822266e+00
2.973213749463701205e+01 7.378150601204649384e-01 4.862340927124023438e+00
3.124099870362661591e+01 6.947382761967031417e-01 4.735145092010498047e+00
3.280243893371345365e+01 6.556956262415362113e-01 4.604923248291015625e+00
3.440930106817050671e+01 6.202494859828214802e-01 4.473055362701416016e+00
3.605551275463989214e+01 5.880026035475675039e-01 4.341070652008056641e+00
3.773592452822641263e+01 5.585993153435624414e-01 4.210700511932373047e+00
3.944616584663204151e+01 5.317240672588056105e-01 4.083861351013183594e+00
4.118252056394800320e+01 5.070985043923369462e-01 3.962599039077758789e+00
4.294182110716777601e+01 4.844779290370231917e-01 3.848948478698730469e+00
4.472135954999579610e+01 4.636476090008060935e-01 3.744736433029174805e+00
4.651881339845203200e+01 4.444192099010988994e-01 3.651344299316406250e+00
4.833218389437828932e+01 4.266274931268760895e-01 3.569513320922851562e+00
5.015974481593781320e+01 4.101273405414909701e-01 3.499254226684570312e+00
5.200000000000000000e+01 3.947911196997614947e-01 3.439893960952758789e+00
5.385164807134503917e+01 3.805063771123649019e-01 3.390257835388183594e+00
5.571355310873647682e+01 3.671738338182192196e-01 3.348903417587280273e+00
5.758472019555187416e+01 3.547056520109403421e-01 3.314332485198974609e+00
5.946427498927402411e+01 3.430239404207033882e-01 3.285152912139892578e+00
6.135144660071186706e+01 3.320594675428854559e-01 3.260160207748413086e+00
6.324555320336758513e+01 3.217505543966421855e-01 3.238368511199951172e+00
6.514598989960931874e+01 3.120421215625333033e-01 3.218998908996582031e+00
6.705221845696084415e+01 3.028848683749714166e-01 3.201453208923339844e+00
6.896375859826666499e+01 2.942345651111877847e-01 3.185280561447143555e+00
7.088018058667739751e+01 2.860514417173182222e-01 3.170145988464355469e+00
7.280109889280518587e+01 2.782996590051113328e-01 3.155802488327026367e+00
7.472616676907762212e+01 2.709468503384205307e-01 3.142069578170776367e+00
7.665507158694720147e+01 2.639637236257045827e-01 3.128815174102783203e+00
7.858753081755399705e+01 2.573237149710886351e-01 3.115942955017089844e+00
8.052328855678958064e+01 2.510026866430346004e-01 3.103382825851440430e+00
8.246211251235321527e+01 2.449786631268641435e-01 3.091083765029907227e+00
8.440379138403676507e+01 2.392315999636605572e-01 3.079008102416992188e+00
8.634813257969160816e+01 2.337431808689014179e-01 3.067128419876098633e+00
8.829496021857646326e+01 2.284966392918623135e-01 3.055423974990844727e+00
9.024411338142782313e+01 2.234766011406330299e-01 3.043879508972167969e+00
9.219544457292887785e+01 2.186689458739419500e-01 3.032483100891113281e+00
9.414881836751855815e+01 2.140606835638215188e-01 3.021226406097412109e+00
9.610411021387170649e+01 2.096398458742125270e-01 3.010102033615112305e+00
9.806120537705010065e+01 2.053953891897673800e-01 2.999104499816894531e+00
1.000199980003998945e+02 2.013171083746407575e-01 2.988229513168334961e+00
1.019803902718556969e+02 1.973955598498807473e-01 2.977472782135009766e+00
1.039422916814902607e+02 1.936219928559453907e-01 2.966831684112548828e+00
1.059056183589898126e+02 1.899882879187157203e-01 2.956302881240844727e+00
1.078702924812943991e+02 1.864869016672167645e-01 2.945884227752685547e+00
1.098362417419678536e+02 1.831108172624841268e-01 2.935573339462280273e+00
1.118033988749894831e+02 1.798534997924782775e-01 2.925368070602416992e+00
1.137717012266231364e+02 1.767088560700366129e-01 2.915266275405883789e+00
1.157410903698422970e+02 1.736711983415738236e-01 2.905266284942626953e+00
1.177115117564972877e+02 1.707352114752828109e-01 2.895366430282592773e+00
1.196829144030174490e+02 1.678959232503745569e-01 2.885564565658569336e+00
1.216552506059643974e+02 1.651486774146268266e-01 2.875859498977661133e+00
1.236284756842047301e+02 1.624891092172033868e-01 2.866249084472656250e+00
1.256025477448606580e+02 1.599131231582192614e-01 2.856732130050659180e+00
1.275774274705364917e+02 1.574168727265907175e-01 2.847306728363037109e+00
1.295530779256131666e+02 1.549967419239409727e-01 2.837971925735473633e+00
1.315294643796590606e+02 1.526493283952651547e-01 2.828725576400756836e+00
1.335065541462290923e+02 1.503714280071345444e-01 2.819566726684570312e+00
1.354843164355195881e+02 1.481600207318313767e-01 2.810493707656860352e+00
1.374627222195166496e+02 1.460122577112754061e-01 2.801505327224731445e+00
1.394417441084268603e+02 1.439254493882163033e-01 2.792600154876708984e+00
1.414213562373095101e+02 1.418970546041639358e-01 2.783776760101318359e+00
1.434015341619468131e+02 1.399246705741177543e-01 2.775033712387084961e+00
1.453822547630899749e+02 1.380060236575194610e-01 2.766370058059692383e+00
1.473634961583091751e+02 1.361389608531407558e-01 2.757784128189086914e+00
1.493452376207557677e+02 1.343214419529684955e-01 2.749275207519531250e+00
1.513274595042155681e+02 1.325515322966740184e-01 2.740841627120971680e+00
1.533101431738944029e+02 1.308273960740569675e-01 2.732482433319091797e+00
1.552932709424333098e+02 1.291472901280200647e-01 2.724196434020996094e+00
1.572768260107000060e+02 1.275095582152382667e-01 2.715982198715209961e+00
1.592607924129476373e+02 1.259126256857982240e-01 2.707839250564575195e+00
1.612451549659709826e+02 1.243549945467614382e-01 2.699765920639038086e+00
1.632298992219256490e+02 1.228352388778949922e-01 2.691761255264282227e+00
1.652150114245070540e+02 1.213520005707636740e-01 2.683824300765991211e+00
1.672004784682149250e+02 1.199039853650239046e-01 2.675954103469848633e+00
1.691862878604528078e+02 1.184899591581377726e-01 2.668149471282958984e+00
1.711724276862368868e+02 1.171087445668642785e-01 2.660409450531005859e+00
1.731588865753068944e+02 1.157592177208107143e-01 2.652733325958251953e+00
1.751456536714514129e+02 1.144403052700634499e-01 2.645119667053222656e+00
1.771327186038762420e+02 1.131509815904845201e-01 2.637567758560180664e+00
1.791200714604591724e+02 1.118902661716761199e-01 2.630076885223388672e+00
1.811077027627483460e+02 1.106572211738956479e-01 2.622645854949951172e+00
1.830956034425731502e+02 1.094509491413634267e-01 2.615273952484130859e+00
1.850837648201483887e+02 1.082705908604560396e-01 2.607960224151611328e+00
1.870721785835617084e+02 1.071153233522317422e-01 2.600703954696655273e+00
1.890608367695435845e+02 1.059843579895998894e-01 2.593504190444946289e+00
1.910497317454280051e+02 1.048769387302338901e-01 2.586360216140747070e+00
1.930388561922184749e+02 1.037923404570428310e-01 2.579271078109741211e+00
1.950282030886815221e+02 1.027298674186694905e-01 2.572236061096191406e+00
1.970177656963960260e+02 1.016888517630770428e-01 2.565254449844360352e+00
1.990075375456919744e+02 1.006686521578289001e-01 2.558325529098510742e+00
2.009975124224177989e+02 9.966865249116202419e-02 2.551448583602905273e+00
2.236067977499789805e+01 1.750649826587374891e+00 5.599876880645751953e+00
2.209072203437452231e+01 1.661456213995641695e+00 5.621285915374755859e+00
2.200000000000000000e+01 1.570796326794896558e+00 5.628374576568603516e+00
2.209072203437452231e+01 1.480136439594151421e+00 5.620963096618652344e+00
2.236067977499789805e+01 1.390942827002418447e+00 5.599199771881103516e+00
2.280350850198275836e+01 1.304544277643971295e+00 5.563565254211425781e+00
2.340939982143925135e+01 1.222025323210989667e+00 5.514795303344726562e+00
2.416609194718914466e+01 1.144168833668020469e+00 5.453834056854248047e+00
2.505992817228333536e+01 1.071449605114766612e+00 5.381772518157958984e+00
2.607680962081059661e+01 1.004067109271390201e+00 5.299751758575439453e+00
2.720294101747088789e+01 9.420000403794636101e-01 5.208939552307128906e+00
2.842534080710379030e+01 8.850668158886103587e-01 5.110474109649658203e+00
2.973213749463701205e+01 8.329812666744317307e-01 5.005472183227539062e+00
3.111269837220809009e+01 7.853981633974482790e-01 4.895012855529785156e+00
3.255764119219941222e+01 7.419472680059174818e-01 4.780139923095703125e+00
3.405877273185280529e+01 7.022569315090070319e-01 4.661923885345458984e+00
3.560898762952971452e+01 6.659692373791098463e-01 4.541468143463134766e+00
3.720215047547655018e+01 6.327488350021831520e-01 4.419952392578125000e+00
3.883297567789519888e+01 6.022873461349641522e-01 4.298656940460205078e+00
4.049691346263317371e+01 5.743048301747017970e-01 4.178981781005859375e+00
4.219004621945797595e+01 5.485494024505280786e-01 4.062424659729003906e+00
4.390899680020029905e+01 5.247957716501073788e-01 3.950545787811279297e+00
4.565084884205330695e+01 5.028432109278607731e-01 3.844888687133789062e+00
4.741307836451878899e+01 4.825132950224769179e-01 3.746845245361328125e+00
4.919349550499537571e+01 4.636476090008060935e-01 3.657541275024414062e+00
5.099019513592784847e+01 4.461055489434036514e-01 3.577685356140136719e+00
5.280151512977634098e+01 4.297622790966885153e-01 3.507505416870117188e+00
5.462600113499065202e+01 4.145068745847859115e-01 3.446733474731445312e+00
5.646237685397241535e+01 4.002406570339741565e-01 3.394688606262207031e+00
5.830951894845300387e+01 3.868757177310280793e-01 3.350404024124145508e+00
6.016643582596529427e+01 3.743336160075839136e-01 3.312772750854492188e+00
6.203224967708329274e+01 3.625442372645075739e-01 3.280676364898681641e+00
6.390618123468183143e+01 3.514447940035517193e-01 3.253072977066040039e+00
6.578753681359410166e+01 3.409789534963493796e-01 3.229050159454345703e+00
6.767569726275452524e+01 3.310960767041321029e-01 3.207843303680419922e+00
6.957010852370434861e+01 3.217505543966421855e-01 3.188830375671386719e+00
7.147027354082254647e+01 3.129012278803844915e-01 3.171519756317138672e+00
7.337574531137656209e+01 3.045108832021125034e-01 3.155527591705322266e+00
7.528612089887484160e+01 2.965458090697004612e-01 3.140559911727905273e+00
7.720103626247512807e+01 2.889754099925664343e-01 3.126391649246215820e+00
7.912016177940992634e+01 2.817718672733521279e-01 3.112853050231933594e+00
8.104319835741924294e+01 2.749098414806725454e-01 3.099816083908081055e+00
8.296987405076616540e+01 2.683662109059068435e-01 3.087184429168701172e+00
8.489994110716449427e+01 2.621198412654728305e-01 3.074885368347167969e+00
8.683317338436964405e+01 2.561513825656034360e-01 3.062864542007446289e+00
8.876936408468858986e+01 2.504430896113518656e-01 3.051080703735351562e+00
9.070832376358853821e+01 2.449786631268641435e-01 3.039503097534179688e+00
9.264987857520375769e+01 2.397431088704565783e-01 3.028107881546020508e+00
9.459386872308374450e+01 2.347226124851971019e-01 3.016877412796020508e+00
9.654014708917736698e+01 2.299044281319047034e-01 3.005797386169433594e+00
9.848857801796104638e+01 2.252767792140552838e-01 2.994857311248779297e+00
1.004390362359177544e+02 2.208287697293483398e-01 2.984048843383789062e+00
1.023914058893616357e+02 2.165503049760892640e-01 2.973365068435668945e+00
1.043455796859646512e+02 2.124320205087421587e-01 2.962800502777099609e+00
1.063014581273464927e+02 2.084652183799877156e-01 2.952350854873657227e+00
1.082589488217948599e+02 2.046418098297779209e-01 2.942012310028076172e+00
1.102179658676388385e+02 2.009542636880970179e-01 2.931781768798828125e+00
1.121784292990412695e+02 1.973955598498807473e-01 2.921656370162963867e+00
1.141402645870421964e+02 1.939591472598931055e-01 2.911633729934692383e+00
1.161034021895999331e+02 1.906389059140955189e-01 2.901711463928222656e+00
1.180677771451635323e+02 1.874291124436736899e-01 2.891887426376342773e+00
1.200333287049892590e+02 1.843244088996990049e-01 2.882160186767578125e+00
1.220000000000000000e+02 1.813197744014902191e-01 2.872527599334716797e+00
1.239677377384938808e+02 1.784104993510403636e-01 2.862988233566284180e+00
1.259364919314493250e+02 1.755921619501802367e-01 2.853540182113647461e+00
1.279062156425558499e+02 1.728606067871449326e-01 2.844182014465332031e+00
1.298768647604337616e+02 1.702119252854744080e-01 2.834912300109863281e+00
1.318483977907960707e+02 1.676424378312157126e-01 2.825729608535766602e+00
1.338207756665608201e+02 1.651486774146268266e-01 2.816632509231567383e+00
1.357939615741436512e+02 1.627273746403810062e-01 2.807619333267211914e+00
1.377679207943562005e+02 1.603754439759507433e-01 2.798689126968383789e+00
1.397426205565073758e+02 1.580899711216857406e-01 2.789840459823608398e+00
1.417180299044549940e+02 1.558682013983224979e-01 2.781072139739990234e+00
1.436941195734884502e+02 1.537075290584790088e-01 2.772382497787475586e+00
1.456708618770411476e+02 1.516054874382728179e-01 2.763770818710327148e+00
1.476482306023339959e+02 1.495597398737031625e-01 2.755235433578491211e+00
1.496262009141447038e+02 1.475680713139947697e-01 2.746775388717651367e+00
1.516047492659778015e+02 1.456283805708226409e-01 2.738389730453491211e+00
1.535838533179839089e+02 1.437386731483262237e-01 2.730077028274536133e+00
1.555634918610404611e+02 1.418970546041639358e-01 2.721836090087890625e+00
1.575436447464638263e+02 1.401017243966302672e-01 2.713665962219238281e+00
1.595242928208741375e+02 1.383509701771252765e-01 2.705565690994262695e+00
1.615054178657793500e+02 1.366431624910871001e-01 2.697534084320068359e+00
1.634870025414864472e+02 1.349767498539234112e-01 2.689569950103759766e+00
1.654690303349844385e+02 1.333502541715524403e-01 2.681672573089599609e+00
1.674514855114758234e+02 1.317622664779264652e-01 2.673840761184692383e+00
1.694343530692639774e+02 1.302114429643964066e-01 2.666073560714721680e+00
1.714176186977289547e+02 1.286965012780141304e-01 2.658370018005371094e+00
1.734012687381496676e+02 1.272162170678880211e-01 2.650729417800903320e+00
1.753852901471500161e+02 1.257694207605276893e-01 2.643150329589843750e+00
1.773696704625680809e+02 1.243549945467614382e-01 2.635632276535034180e+00
1.793543977715628728e+02 1.229718695642971482e-01 2.628174304962158203e+00
1.813394606807906086e+02 1.216190232613465760e-01 2.620775461196899414e+00
1.833248482884957866e+02 1.202954769279541286e-01 2.613435029983520508e+00
1.853105501583760315e+02 1.190002933827799397e-01 2.606151819229125977e+00
1.872965562950904825e+02 1.177325748040936038e-01 2.598925352096557617e+00
1.892828571212934889e+02 1.164914606946501618e-01 2.591754674911499023e+00
1.912694434560837067e+02 1.152761259709520480e-01 2.584639310836791992e+00
1.932563064947687508e+02 1.140857791681594985e-01 2.577577829360961914e+00
1.952434377898524929e+02 1.129196607526025964e-01 2.570569992065429688e+00
1.972308292331601933e+02 1.117770415344788021e-01 2.563614845275878906e+00
1.992184730390231664e+02 1.106572211738956479e-01 2.556711912155151367e+00
2.012063617284503323e+02 1.095595267739443435e-01 2.549860000610351562e+00
2.433105012119287736e+01 1.735945004209523468e+00 5.544202804565429688e+00
2.408318915758459156e+01 1.653937558683337805e+00 5.562841415405273438e+00
2.400000000000000000e+01 1.570796326794896558e+00 5.568980216979980469e+00
2.408318915758459156e+01 1.487655094906455311e+00 5.562504768371582031e+00
2.433105012119287736e+01 1.405647649380269870e+00 5.543500423431396484e+00
2.473863375370596174e+01 1.325817663668032553e+00 5.512334346771240234e+00
2.529822128134703618e+01 1.249045772398254428e+00 5.469568729400634766e+00
2.600000000000000000e+01 1.176005207095135008e+00 5.415940761566162109e+00
2.683281572999747766e+01 1.107148717794090409e+00 5.352297782897949219e+00
2.778488797889960793e+01 1.042721878368537025e+00 5.279569149017333984e+00
2.884441020371191300e+01 9.827937232473290541e-01 5.198706150054931641e+00
3.000000000000000000e+01 9.272952180016121870e-01 5.110670089721679688e+00
3.124099870362661591e+01 8.760580505981934163e-01 5.016403675079345703e+00
3.255764119219941222e+01 8.288490587889791872e-01 4.916830062866210938e+00
3.394112549695427816e+01 7.853981633974482790e-01 4.812851905822753906e+00
3.538361202590826338e+01 7.454194762741582769e-01 4.705373287200927734e+00
3.687817782917154830e+01 7.086262721276702647e-01 4.595306873321533203e+00
3.841874542459709119e+01 6.747409422235526311e-01 4.483595848083496094e+00
4.000000000000000000e+01 6.435011087932843710e-01 4.371243000030517578e+00
4.161730409336962566e+01 6.146629519221654681e-01 4.259305953979492188e+00
4.326661530556787483e+01 5.880026035475675039e-01 4.148911952972412109e+00
4.494441010848846219e+01 5.633162614919681177e-01 4.041245460510253906e+00
4.664761515876240594e+01 5.404195002705841633e-01 3.937523126602172852e+00
4.837354648979129479e+01 5.191461142465229051e-01 3.838927030563354492e+00
5.011985634456667071e+01 4.993467216801301123e-01 3.746557235717773438e+00
5.188448708429138634e+01 4.808872801953358311e-01 3.661327362060546875e+00
5.366563145999495532e+01 4.636476090008060935e-01 3.583882093429565430e+00
5.546169849544818931e+01 4.475199751571699025e-01 3.514540433883666992e+00
5.727128425310541360e+01 4.324077755705378334e-01 3.453273534774780273e+00
5.909314681077663067e+01 4.182243295792291149e-01 3.399722814559936523e+00
6.092618484691126923e+01 4.048917862850834326e-01 3.353276014328002930e+00
6.276941930590086116e+01 3.923401442155157737e-01 3.313150405883789062e+00
