# rho theta Phi
1.980403999188044395e+02 -2.019927258106792717e-02 0.000000000000000000e+00
2.000399960007997890e+02 -1.999733397315053146e-02 0.000000000000000000e+00
4.472135954999579610e+00 -2.677945044588986967e+00 6.206551551818847656e+00
2.828427124746190291e+00 -2.356194490192344837e+00 6.428143024444580078e+00
2.000000000000000000e+00 -1.570796326794896558e+00 6.544090747833251953e+00
2.828427124746190291e+00 -7.853981633974482790e-01 6.427989482879638672e+00
4.472135954999579610e+00 -4.636476090008060935e-01 6.206038475036621094e+00
6.324555320336759046e+00 -3.217505543966421855e-01 5.966562271118164062e+00
8.246211251235321171e+00 -2.449786631268641435e-01 5.723881244659423828e+00
1.019803902718556898e+01 -1.973955598498807473e-01 5.481100082397460938e+00
1.216552506059643868e+01 -1.651486774146268266e-01 5.239856243133544922e+00
1.414213562373095101e+01 -1.418970546041639358e-01 5.001886367797851562e+00
1.612451549659709826e+01 -1.243549945467614382e-01 4.769588470458984375e+00
1.811077027627483460e+01 -1.106572211738956479e-01 4.546428680419921875e+00
2.009975124224177989e+01 -9.966865249116202419e-02 4.337130546569824219e+00
2.209072203437452231e+01 -9.065988720074510954e-02 4.146869182586669922e+00
2.408318915758459156e+01 -8.314123188844123324e-02 3.961841583251953125e+00
2.607680962081059661e+01 -7.677189126977804201e-02 3.677436590194702148e+00
2.807133769523639799e+01 -7.130746478529031984e-02 3.572242259979248047e+00
3.006659275674581622e+01 -6.656816377582380762e-02 3.548251628875732422e+00
3.206243908376279705e+01 -6.241880999595735002e-02 3.528270006179809570e+00
3.405877273185280529e+01 -5.875582271572269560e-02 3.508765459060668945e+00
3.605551275463989214e+01 -5.549850524571683236e-02 3.489614486694335938e+00
3.805259518088089266e+01 -5.258306161094172121e-02 3.470803976058959961e+00
4.004996878900157498e+01 -4.995839572194275824e-02 3.452325105667114258e+00
4.204759208325727826e+01 -4.758310327698339615e-02 3.434169054031372070e+00
4.404543109109047805e+01 -4.542327942157701332e-02 3.416327476501464844e+00
4.604345773288535071e+01 -4.345089539153083880e-02 3.398791790008544922e+00
4.804164859785725383e+01 -4.164257909858842116e-02 3.381553649902343750e+00
5.003998401278721531e+01 -3.997868712329004370e-02 3.364605426788330078e+00
